# Time(s)     N            E            Z
 0.00000e+00 -1.08961e-20  1.77947e-04  3.75463e-04
 1.00000e-02  1.06394e-20 -1.73754e-04 -3.92064e-04
 2.00000e-02 -1.09708e-20  1.79167e-04  3.77551e-04
 3.00000e-02  1.06839e-20 -1.74481e-04 -3.94257e-04
 4.00000e-02 -1.10460e-20  1.80396e-04  3.79649e-04
 5.00000e-02  1.07286e-20 -1.75212e-04 -3.96475e-04
 6.00000e-02 -1.11221e-20  1.81638e-04  3.81757e-04
 7.00000e-02  1.07734e-20 -1.75943e-04 -3.98717e-04
 8.00000e-02 -1.11992e-20  1.82896e-04  3.83874e-04
 9.00000e-02  1.08182e-20 -1.76675e-04 -4.00985e-04
 1.00000e-01 -1.12772e-20  1.84170e-04  3.86002e-04
 1.10000e-01  1.08631e-20 -1.77408e-04 -4.03278e-04
 1.20000e-01 -1.13558e-20  1.85455e-04  3.88142e-04
 1.30000e-01  1.09088e-20 -1.78154e-04 -4.05596e-04
 1.40000e-01 -1.14342e-20  1.86735e-04  3.90293e-04
 1.50000e-01  1.09564e-20 -1.78932e-04 -4.07937e-04
 1.60000e-01 -1.15109e-20  1.87987e-04  3.92460e-04
 1.70000e-01  1.10078e-20 -1.79771e-04 -4.10298e-04
 1.80000e-01 -1.15839e-20  1.89180e-04  3.94645e-04
 1.90000e-01  1.10645e-20 -1.80697e-04 -4.12679e-04
 2.00000e-01 -1.16521e-20  1.90294e-04  3.96850e-04
 2.10000e-01  1.11274e-20 -1.81723e-04 -4.15078e-04
 2.20000e-01 -1.17155e-20  1.91328e-04  3.99076e-04
 2.30000e-01  1.11956e-20 -1.82839e-04 -4.17494e-04
 2.40000e-01 -1.17753e-20  1.92305e-04  4.01322e-04
 2.50000e-01  1.12676e-20 -1.84013e-04 -4.19931e-04
 2.60000e-01 -1.18336e-20  1.93257e-04  4.03586e-04
 2.70000e-01  1.13411e-20 -1.85214e-04 -4.22390e-04
 2.80000e-01 -1.18922e-20  1.94215e-04  4.05869e-04
 2.90000e-01  1.14148e-20 -1.86417e-04 -4.24872e-04
 3.00000e-01 -1.19524e-20  1.95197e-04  4.08169e-04
 3.10000e-01  1.14878e-20 -1.87610e-04 -4.27378e-04
 3.20000e-01 -1.20143e-20  1.96209e-04  4.10487e-04
 3.30000e-01  1.15602e-20 -1.88792e-04 -4.29909e-04
 3.40000e-01 -1.20781e-20  1.97251e-04  4.12821e-04
 3.50000e-01  1.16321e-20 -1.89966e-04 -4.32465e-04
 3.60000e-01 -1.21434e-20  1.98316e-04  4.15172e-04
 3.70000e-01  1.17039e-20 -1.91139e-04 -4.35049e-04
 3.80000e-01 -1.22098e-20  1.99401e-04  4.17539e-04
 3.90000e-01  1.17759e-20 -1.92315e-04 -4.37659e-04
 4.00000e-01 -1.22770e-20  2.00498e-04  4.19924e-04
 4.10000e-01  1.18484e-20 -1.93500e-04 -4.40296e-04
 4.20000e-01 -1.23448e-20  2.01606e-04  4.22326e-04
 4.30000e-01  1.19218e-20 -1.94698e-04 -4.42961e-04
 4.40000e-01 -1.24129e-20  2.02718e-04  4.24745e-04
 4.50000e-01  1.19962e-20 -1.95912e-04 -4.45655e-04
 4.60000e-01 -1.24812e-20  2.03834e-04  4.27182e-04
 4.70000e-01  1.20718e-20 -1.97147e-04 -4.48378e-04
 4.80000e-01 -1.25495e-20  2.04948e-04  4.29636e-04
 4.90000e-01  1.21488e-20 -1.98405e-04 -4.51130e-04
 5.00000e-01 -1.26175e-20  2.06059e-04  4.32108e-04
 5.10000e-01  1.22276e-20 -1.99692e-04 -4.53912e-04
 5.20000e-01 -1.26850e-20  2.07162e-04  4.34599e-04
 5.30000e-01  1.23083e-20 -2.01009e-04 -4.56722e-04
 5.40000e-01 -1.27518e-20  2.08252e-04  4.37112e-04
 5.50000e-01  1.23912e-20 -2.02364e-04 -4.59560e-04
 5.60000e-01 -1.28175e-20  2.09326e-04  4.39646e-04
 5.70000e-01  1.24768e-20 -2.03762e-04 -4.62426e-04
 5.80000e-01 -1.28818e-20  2.10375e-04  4.42203e-04
 5.90000e-01  1.25655e-20 -2.05210e-04 -4.65318e-04
 6.00000e-01 -1.29441e-20  2.11393e-04  4.44786e-04
 6.10000e-01  1.26579e-20 -2.06718e-04 -4.68236e-04
 6.20000e-01 -1.30039e-20  2.12369e-04  4.47396e-04
 6.30000e-01  1.27546e-20 -2.08298e-04 -4.71178e-04
 6.40000e-01 -1.30603e-20  2.13291e-04  4.50036e-04
 6.50000e-01  1.28566e-20 -2.09964e-04 -4.74141e-04
 6.60000e-01 -1.31124e-20  2.14141e-04  4.52709e-04
 6.70000e-01  1.29651e-20 -2.11736e-04 -4.77124e-04
