# Time(s)     R            T            Z
 0.00000e+00 -1.54090e-02  4.68084e-03 -1.03261e-02
 1.00000e-03 -1.48901e-02  4.80320e-03 -9.67806e-03
 2.00000e-03 -1.43836e-02  4.93507e-03 -9.08468e-03
 3.00000e-03 -1.38232e-02  5.07622e-03 -8.40541e-03
 4.00000e-03 -1.32763e-02  5.22644e-03 -7.78283e-03
 5.00000e-03 -1.26765e-02  5.38546e-03 -7.07631e-03
 6.00000e-03 -1.20914e-02  5.55304e-03 -6.42846e-03
 7.00000e-03 -1.14545e-02  5.72885e-03 -5.69855e-03
 8.00000e-03 -1.08335e-02  5.91260e-03 -5.02922e-03
 9.00000e-03 -1.01619e-02  6.10395e-03 -4.27960e-03
 1.00000e-02 -9.50728e-03  6.30255e-03 -3.59237e-03
 1.10000e-02 -8.80320e-03  6.50800e-03 -2.82650e-03
 1.20000e-02 -8.11748e-03  6.71994e-03 -2.12470e-03
 1.30000e-02 -7.38349e-03  6.93792e-03 -1.34583e-03
 1.40000e-02 -6.66919e-03  7.16154e-03 -6.32626e-04
 1.50000e-02 -5.90797e-03  7.39031e-03  1.56170e-04
 1.60000e-02 -5.16790e-03  7.62380e-03  8.77767e-04
 1.70000e-02 -4.38241e-03  7.86151e-03  1.67350e-03
 1.80000e-02 -3.61968e-03  8.10295e-03  2.40051e-03
 1.90000e-02 -2.81321e-03  8.34759e-03  3.20019e-03
 2.00000e-02 -2.03134e-03  8.59494e-03  3.92956e-03
 2.10000e-02 -1.20764e-03  8.84443e-03  4.73006e-03
 2.20000e-02 -4.10624e-04  9.09553e-03  5.45857e-03
 2.30000e-02  4.26029e-04  9.34766e-03  6.25655e-03
 2.40000e-02  1.23363e-03  9.60026e-03  6.98072e-03
 2.50000e-02  2.07838e-03  9.85271e-03  7.77252e-03
 2.60000e-02  2.89139e-03  1.01044e-02  8.48849e-03
 2.70000e-02  3.73875e-03  1.03547e-02  9.27007e-03
 2.80000e-02  4.55138e-03  1.06031e-02  9.97359e-03
 2.90000e-02  5.39524e-03  1.08487e-02  1.07405e-02
 3.00000e-02  6.20106e-03  1.10909e-02  1.14269e-02
 3.10000e-02  7.03472e-03  1.13291e-02  1.21742e-02
 3.20000e-02  7.82677e-03  1.15625e-02  1.28384e-02
 3.30000e-02  8.64301e-03  1.17904e-02  1.35609e-02
 3.40000e-02  9.41385e-03  1.20120e-02  1.41974e-02
 3.50000e-02  1.02051e-02  1.22265e-02  1.48895e-02
 3.60000e-02  1.09469e-02  1.24333e-02  1.54929e-02
 3.70000e-02  1.17053e-02  1.26314e-02  1.61489e-02
 3.80000e-02  1.24104e-02  1.28202e-02  1.67133e-02
 3.90000e-02  1.31280e-02  1.29988e-02  1.73277e-02
 4.00000e-02  1.37885e-02  1.31666e-02  1.78476e-02
 4.10000e-02  1.44579e-02  1.33227e-02  1.84147e-02
 4.20000e-02  1.50666e-02  1.34664e-02  1.88849e-02
 4.30000e-02  1.56806e-02  1.35970e-02  1.93999e-02
 4.40000e-02  1.62306e-02  1.37140e-02  1.98156e-02
 4.50000e-02  1.67831e-02  1.38167e-02  2.02742e-02
 4.60000e-02  1.72688e-02  1.39045e-02  2.06315e-02
 4.70000e-02  1.77545e-02  1.39771e-02  2.10301e-02
 4.80000e-02  1.81713e-02  1.40340e-02  2.13261e-02
 4.90000e-02  1.85864e-02  1.40749e-02  2.16624e-02
 5.00000e-02  1.89312e-02  1.40995e-02  2.18953e-02
 5.10000e-02  1.92733e-02  1.41078e-02  2.21681e-02
 5.20000e-02  1.95445e-02  1.40997e-02  2.23372e-02
 5.30000e-02  1.98129e-02  1.40751e-02  2.25465e-02
 5.40000e-02  2.00105e-02  1.40343e-02  2.26525e-02
 5.50000e-02  2.02060e-02  1.39775e-02  2.27996e-02
 5.60000e-02  2.03318e-02  1.39050e-02  2.28445e-02
 5.70000e-02  2.04567e-02  1.38171e-02  2.29319e-02
 5.80000e-02  2.05137e-02  1.37144e-02  2.29187e-02
 5.90000e-02  2.05720e-02  1.35975e-02  2.29499e-02
 6.00000e-02  2.05646e-02  1.34669e-02  2.28827e-02
 6.10000e-02  2.05611e-02  1.33234e-02  2.28623e-02
 6.20000e-02  2.04948e-02  1.31677e-02  2.27459e-02
 6.30000e-02  2.04356e-02  1.30005e-02  2.26789e-02
 6.40000e-02  2.03167e-02  1.28228e-02  2.25188e-02
 6.50000e-02  2.02081e-02  1.26354e-02  2.24109e-02
 6.60000e-02  2.00433e-02  1.24390e-02  2.22128e-02
 6.70000e-02  1.98923e-02  1.22347e-02  2.20700e-02
 6.80000e-02  1.96886e-02  1.20233e-02  2.18398e-02
 6.90000e-02  1.95021e-02  1.18057e-02  2.16679e-02
 7.00000e-02  1.92663e-02  1.15827e-02  2.14115e-02
 7.10000e-02  1.90511e-02  1.13553e-02  2.12163e-02
 7.20000e-02  1.87898e-02  1.11242e-02  2.09393e-02
 7.30000e-02  1.85522e-02  1.08902e-02  2.07262e-02
 7.40000e-02  1.82716e-02  1.06542e-02  2.04339e-02
 7.50000e-02  1.80176e-02  1.04169e-02  2.02080e-02
 7.60000e-02  1.77231e-02  1.01789e-02  1.99052e-02
 7.70000e-02  1.74579e-02  9.94102e-03  1.96711e-02
 7.80000e-02  1.71546e-02  9.70383e-03  1.93621e-02
 7.90000e-02  1.68828e-02  9.46790e-03  1.91238e-02
 8.00000e-02  1.65748e-02  9.23381e-03  1.88124e-02
 8.10000e-02  1.63002e-02  9.00206e-03  1.85734e-02
 8.20000e-02  1.59911e-02  8.77313e-03  1.82628e-02
 8.30000e-02  1.57168e-02  8.54742e-03  1.80260e-02
 8.40000e-02  1.54094e-02  8.32535e-03  1.77188e-02
 8.50000e-02  1.51380e-02  8.10723e-03  1.74867e-02
 8.60000e-02  1.48344e-02  7.89339e-03  1.71852e-02
 8.70000e-02  1.45676e-02  7.68407e-03  1.69596e-02
 8.80000e-02  1.42694e-02  7.47952e-03  1.66655e-02
 8.90000e-02  1.40086e-02  7.27990e-03  1.64480e-02
 9.00000e-02  1.37168e-02  7.08537e-03  1.61625e-02
 9.10000e-02  1.34627e-02  6.89603e-03  1.59542e-02
 9.20000e-02  1.31777e-02  6.71197e-03  1.56782e-02
 9.30000e-02  1.29306e-02  6.53320e-03  1.54798e-02
 9.40000e-02  1.26525e-02  6.35975e-03  1.52139e-02
 9.50000e-02  1.24123e-02  6.19155e-03  1.50258e-02
 9.60000e-02  1.21409e-02  6.02855e-03  1.47703e-02
 9.70000e-02  1.19071e-02  5.87063e-03  1.45927e-02
 9.80000e-02  1.16417e-02  5.71767e-03  1.43476e-02
 9.90000e-02  1.14135e-02  5.56948e-03  1.41804e-02
 1.00000e-01  1.11533e-02  5.42588e-03  1.39456e-02
 1.01000e-01  1.09298e-02  5.28662e-03  1.37885e-02
 1.02000e-01  1.06737e-02  5.15146e-03  1.35636e-02
 1.03000e-01  1.04538e-02  5.02011e-03  1.34163e-02
 1.04000e-01  1.02007e-02  4.89228e-03  1.32008e-02
 1.05000e-01  9.98309e-03  4.76763e-03  1.30627e-02
